dataset,algorithm,size,run,time_us,char_comparisons,char_inspections,radix_calls,quick_switches
random,standard_quicksort,100,1,49,933,0,0,0
random,standard_quicksort,100,2,58,933,0,0,0
random,standard_quicksort,100,3,45,933,0,0,0
random,standard_quicksort,100,4,45,933,0,0,0
random,standard_quicksort,100,5,44,933,0,0,0
random,standard_quicksort,100,6,44,933,0,0,0
random,standard_quicksort,100,7,44,933,0,0,0
random,standard_quicksort,100,8,44,933,0,0,0
random,standard_quicksort,100,9,44,933,0,0,0
random,standard_quicksort,100,10,44,933,0,0,0
random,standard_quicksort,100,11,44,933,0,0,0
random,standard_quicksort,100,12,44,933,0,0,0
random,standard_quicksort,100,13,44,933,0,0,0
random,standard_quicksort,100,14,44,933,0,0,0
random,standard_quicksort,100,15,44,933,0,0,0
random,standard_quicksort,100,16,44,933,0,0,0
random,standard_quicksort,100,17,44,933,0,0,0
random,standard_quicksort,100,18,44,933,0,0,0
random,standard_quicksort,100,19,44,933,0,0,0
random,standard_quicksort,100,20,44,933,0,0,0
random,standard_quicksort,100,21,44,933,0,0,0
random,standard_quicksort,100,22,44,933,0,0,0
random,standard_quicksort,100,23,44,933,0,0,0
random,standard_quicksort,100,24,44,933,0,0,0
random,standard_quicksort,100,25,44,933,0,0,0
random,standard_quicksort,100,26,44,933,0,0,0
random,standard_quicksort,100,27,44,933,0,0,0
random,standard_quicksort,100,28,44,933,0,0,0
random,standard_quicksort,100,29,44,933,0,0,0
random,standard_quicksort,100,30,44,933,0,0,0
random,standard_mergesort,100,1,63,602,0,0,0
random,standard_mergesort,100,2,52,602,0,0,0
random,standard_mergesort,100,3,48,602,0,0,0
random,standard_mergesort,100,4,45,602,0,0,0
random,standard_mergesort,100,5,44,602,0,0,0
random,standard_mergesort,100,6,43,602,0,0,0
random,standard_mergesort,100,7,43,602,0,0,0
random,standard_mergesort,100,8,42,602,0,0,0
random,standard_mergesort,100,9,42,602,0,0,0
random,standard_mergesort,100,10,42,602,0,0,0
random,standard_mergesort,100,11,42,602,0,0,0
random,standard_mergesort,100,12,42,602,0,0,0
random,standard_mergesort,100,13,42,602,0,0,0
random,standard_mergesort,100,14,42,602,0,0,0
random,standard_mergesort,100,15,42,602,0,0,0
random,standard_mergesort,100,16,42,602,0,0,0
random,standard_mergesort,100,17,42,602,0,0,0
random,standard_mergesort,100,18,42,602,0,0,0
random,standard_mergesort,100,19,42,602,0,0,0
random,standard_mergesort,100,20,42,602,0,0,0
random,standard_mergesort,100,21,42,602,0,0,0
random,standard_mergesort,100,22,42,602,0,0,0
random,standard_mergesort,100,23,42,602,0,0,0
random,standard_mergesort,100,24,42,602,0,0,0
random,standard_mergesort,100,25,42,602,0,0,0
random,standard_mergesort,100,26,42,602,0,0,0
random,standard_mergesort,100,27,42,602,0,0,0
random,standard_mergesort,100,28,42,602,0,0,0
random,standard_mergesort,100,29,42,602,0,0,0
random,standard_mergesort,100,30,42,602,0,0,0
random,string_quicksort,100,1,26,1064,771,0,0
random,string_quicksort,100,2,23,1064,771,0,0
random,string_quicksort,100,3,23,1064,771,0,0
random,string_quicksort,100,4,23,1064,771,0,0
random,string_quicksort,100,5,23,1064,771,0,0
random,string_quicksort,100,6,23,1064,771,0,0
random,string_quicksort,100,7,23,1064,771,0,0
random,string_quicksort,100,8,23,1064,771,0,0
