dataset,algorithm,size,avg_time_us,avg_char_comparisons,avg_char_inspections,avg_radix_calls,avg_quick_switches
nearly_sorted,lcp_mergesort,100,40.867,1069.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,200,110.267,2631.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,300,170.567,4343.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,400,244.067,6206.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,500,331.933,8403.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,600,397.200,10051.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,700,512.500,12186.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,800,568.900,14201.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,900,644.267,16351.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1000,760.933,18990.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1100,820.800,20886.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1200,920.500,22895.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1300,1037.467,25284.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1400,1095.200,27558.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1500,1191.667,29846.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1600,1280.033,31650.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1700,1414.900,34159.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1800,1503.500,36218.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,1900,1615.833,38777.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2000,1705.067,42000.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2100,1781.800,44199.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2200,1908.933,46078.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2300,1958.033,48523.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2400,2048.667,50109.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2500,2254.133,52244.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2600,2321.433,54242.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2700,2417.367,55973.000,0.000,0.000,0.000
nearly_sorted,lcp_mergesort,2800,2572.500,59409.000,0.000,0.000,0.000
